file name,Timezone (UTC),GameID,aliases,Alt,Masked Troupe name,Path - main,Path - secondary,Path - Former,Role,Sect,Sect - Former,Guild Role,GVG Team,GVG Role,GVG Title,Cohort,Cohort Rank,Master,Disciple Rank,Disciple,Partner,Partner - Former,External,Ext Description,img,cover,WWM Player
Greenmadness,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,[[_Defence]],DPS,,,,,,,,,,,[[guild.png]],,true
hekapider,UTC-7,1045179371,heka,,,Silkbind - Jade,Bamboocut - Wind,,DPS,Velvet Shade,"Raging Tides, Masked Troupe",Member,[[_Attack]],DPS,,[[_Enchanted Cohort]],Third Sister,[[gns]],Second Disciple,,"[[baoyu 宝玉]], [[weiyun 组玮芸]], [[dongfunbubai]]",,https://drive.google.com/drive/folders/1sH4pfxyiE-KpqNElvMmjSus2ugxxHCp9?usp=drive_link,Link to the fanfiction about Hekapider's harem adventures!,[[hekapider.png]],![[hekapider.png]],true
LaoLongfeng,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
Linlui,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,[[_Defence]],DPS,,,,,,,,,,,[[guild.png]],,true
lonerexlapis,UTC-5,1082940367,LoneRexLapis,[[prymerex]],,Silkbind - Jade,Stonesplit - Might,,DPS,Midnight Blades,,Commander,[[_Defence]],Tank,Commander,[[_Not Lonely Cohort]],Elder,,,"[[prymerex]], [[gleefulboidae]]",,,"https://www.youtube.com/watch?v=-1czu64NVrc&list=PL4Yiov3Xp-YeI25ZlxiGuISwauB3wQaWV, https://www.youtube.com/watch?v=iGgrvImQtog&list=PL4Yiov3Xp-YcmQKcF9QnB8Wvp5VjMJz_Y",,[[rex.png]],![[rex.png]],true
Mean-Eye,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
meijialin,UTC+6,0039593367,meijialin,,CoyDiva,Bamboocut - Wind,Stonesplit - Strength,,,Nine Mortal Ways,,,[[_Defence]],Healer,,,,,,,,,,,[[meijialin.png]],![[meijialin.png]],true
Melmei (Triad Master),,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
MoonHori,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
Morichu,"(EDT) UTC-4, (EST) UTC-5",1058158429,Mori,[[Mean-Eye]],,Stonesplit - Strength,Silkbind - Jade,,DPS,Nine Mortal Ways,,DPS,,,,[[_Enchanted Cohort]],5 Younger Sister,,,[[soulren|soul-ren]],[[soulren|soul-ren]],,,,[[morichu.png]],![[morichu.png]],true
nhatthao,UTC +9.30,4085625047,nhat,,Nyanko,Silkbind - Jade,Bellstrike - Splendor,,DPS,Raging Tides,Masked Troupe,Member,[[_Attack]],DPS,,[[_Enchanted Cohort]],7th,[[gnsyiliuba]],3rd,,,,,,[[nhatthao.jpg]],![[nhatthao.jpg]],true
Nimm-,UTC-4,1072261830,Nimm,,,Silkbind - Jade,Silkbind - Deluge,,DPS,Velvet Shade,,Member,[[_Defence]],Healer,,,,,,,,,,,[[guild.png]],,true
PrimReader,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,[[_Defence]],DPS,,,,,,,,,,,[[guild.png]],,true
prymerex,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,[[_Defence]],DPS,,,,,,,,,,,[[guild.png]],,true
slightlyspinner,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,[[_Defence]],DPS,,,,,,,,,,,[[guild.png]],,true
soulren,"(EDT) UTC-4, (EST) UTC-5.",1072033109,"Soul, Ren, soul-ren, Divine Healer, MVP",,,Silkbind - Deluge,Bellstrike - Splendor,,Healer,Midnight Blades,Well of Heaven,Healer,[[_Defence]],Healer,"Divine healer, Guild Pillar",[[_Enchanted Cohort]],4th Brother,[[Morichu]],Eldest Disciple,,[[Morichu]],,,,[[soulren2.png]],![[soulren2.png]],true
tierce,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
weiyun 组玮芸,UTC+1,2112394246,组玮芸-ZuWeiyun,[[花晨光]],DiRayne,Silkbind - Jade,,null,DPS,Nine Mortal Ways,"Midnight Blades, Masked Troupe, Raging Tides","Commander, Builder",[[_Jungle]],DPS,Jungle Ruler,[[_Dramallama Cohort]],Fourth sister,[[avenuex 顾明]],Second Disciple,"[[gongshangjue]], [[花晨光]], [[MoonHori]]",[[hekapider]],[[花晨光]],https://www.youtube.com/playlist?list=PLnn7mE5mEUpzKD89IrJOA85oZpi2ydsnR,,[[weiyun.png]],![[weiyun.png]],true
wuchaang,,,,,,,,,,,,,[[_Defence]],Tank,,,,,,,,,,,[[guild.png]],,true
Yaegami,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
yibaishi,UTC+2,2015704079,YiBaiShi,[[ErBaiShi]],WhiteJadeFox,Bamboocut - Dust,Silkbind - Deluge,,DPS,Sectless,"Silver Needle, Raging Tides, Velvet Shade, Masked Troupe",Commander,[[_Attack]],Healer,none,[[_Dramallama Cohort]],7th Younger Sister,[[Yaegami]],,"[[Melmei (Triad Master)]], [[Gottasay (Triad Master)]]",[[LaoLongfeng]],,,,[[yibaishi.png]],![[yibaishi.png]],true
媚璇Meixuan,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
小卢宝,UTC+8,3064087407,"Xiao, xiaolubao",,三刀流,Silkbind - Jade,Silkbind - Deluge,,DPS,Masked Troupe,Velvet Shade,,[[_Defence]],Healer,,[[_Not Lonely Cohort]],Second Brother,,,,,,,,[[xiaolubao.jpg]],![[xiaolubao.jpg]],true
牛雨冷,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
看戏的朱陌,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
花晨光,,,,,,,,"Bamboocut - Dust, Bamboocut - Wind, Bellstrike - Splendor, Bellstrike - Umbra, Silkbind - Deluge, Silkbind - Jade, Stonesplit - Might, Stonesplit - Strength",,,"Well of Heaven, Silver Needle, Raging Tides, Midnight Blades, Nine Mortal Ways, Velvet Shade, Lone Cloud, Masked Troupe, Mohist Hill, Hollow Vale, Inkbound Order",,,,,,,,,,,,,,[[guild.png]],,true
